PROVINCIA;CANTON;PARROQUIA;INCENDIOS;OSOS;ALIMENTACION;Latitud;Longitud;Latitud-2;Longitud-2;TIPO VEGETACION;BIOCLIMA;TIPO_ECOSI;FRAGILIDAD;AREA PROTEGIDA;DEFICIT HIDRICO;YEAR;MONTH;DAY
PICHINCHA;QUITO;SAN JOSE DE MINAS;NO;NO;Racinaea;0.16666;-78.55;0;0;BOSQUE;PLUVIESTACIONAL;ECOSISTEMA TERRESTRE;ALTA;NO DEFINIDA;70 - 80;1900;1;1
PICHINCHA;QUITO;SAN JOSE DE MINAS;NO;NO;Guzmania;0.17;-78.55;0;0;BOSQUE;PLUVIESTACIONAL;ECOSISTEMA TERRESTRE;ALTA;NO DEFINIDA;70 - 80;1900;1;1
PICHINCHA;QUITO;SAN JOSE DE MINAS;NO;NO;Guzmania;0.16666;-78.55;0;0;BOSQUE;PLUVIESTACIONAL;ECOSISTEMA TERRESTRE;ALTA;NO DEFINIDA;70 - 80;1900;1;1
PICHINCHA;QUITO;SAN JOSE DE MINAS;NO;NO;Mezobromelia;0.16666;-78.55;0;0;BOSQUE;PLUVIESTACIONAL;ECOSISTEMA TERRESTRE;ALTA;NO DEFINIDA;70 - 80;1900;1;1
PICHINCHA;QUITO;SAN JOSE DE MINAS;NO;NO;Mezobromelia;0.16666;-78.55;0;0;BOSQUE;PLUVIESTACIONAL;ECOSISTEMA TERRESTRE;ALTA;NO DEFINIDA;70 - 80;1900;1;1
PICHINCHA;QUITO;SAN JOSE DE MINAS;NO;NO;Pitcairnia;0.18333;-78.55;0;0;BOSQUE;PLUVIESTACIONAL;ECOSISTEMA TERRESTRE;ALTA;NO DEFINIDA;70 - 80;1900;1;1
PICHINCHA;QUITO;SAN JOSE DE MINAS;NO;NO;Guzmania;0.18333;-78.55;0;0;BOSQUE;PLUVIESTACIONAL;ECOSISTEMA TERRESTRE;ALTA;NO DEFINIDA;70 - 80;1900;1;1
PICHINCHA;QUITO;SAN JOSE DE MINAS;NO;NO;Guzmania;0.18;-78.55;0;0;BOSQUE;PLUVIESTACIONAL;ECOSISTEMA TERRESTRE;ALTA;NO DEFINIDA;70 - 80;1900;1;1
PICHINCHA;QUITO;NANEGAL;NO;NO;Pitcairnia;0.11666;-78.56666;0;0;BOSQUE;PLUVIESTACIONAL;ECOSISTEMA TERRESTRE;ALTA;NO DEFINIDA;70 - 80;1900;1;1
PICHINCHA;QUITO;NANEGAL;NO;NO;Guzmania;0.11666;-78.56666;0;0;BOSQUE;PLUVIESTACIONAL;ECOSISTEMA TERRESTRE;ALTA;NO DEFINIDA;70 - 80;1900;1;1
PICHINCHA;QUITO;NANEGAL;NO;NO;Tillandsia;0.11666;-78.56666;0;0;BOSQUE;PLUVIESTACIONAL;ECOSISTEMA TERRESTRE;ALTA;NO DEFINIDA;70 - 80;1900;1;1
PICHINCHA;QUITO;NANEGAL;NO;NO;Guzmania;0.11666;-78.56666;0;0;BOSQUE;PLUVIESTACIONAL;ECOSISTEMA TERRESTRE;ALTA;NO DEFINIDA;70 - 80;1900;1;1
PICHINCHA;QUITO;NANEGAL;NO;NO;Guzmania;0.11666;-78.56666;0;0;BOSQUE;PLUVIESTACIONAL;ECOSISTEMA TERRESTRE;ALTA;NO DEFINIDA;70 - 80;1900;1;1
PICHINCHA;QUITO;SAN JOSE DE MINAS;NO;NO;Tillandsia;0.16666;-78.53333;0;0;BOSQUE;PLUVIESTACIONAL;ECOSISTEMA TERRESTRE;ALTA;NO DEFINIDA;70 - 80;1900;1;1
PICHINCHA;QUITO;SAN JOSE DE MINAS;NO;NO;Tillandsia;0.16666;-78.53333;0;0;BOSQUE;PLUVIESTACIONAL;ECOSISTEMA TERRESTRE;ALTA;NO DEFINIDA;70 - 80;1900;1;1
PICHINCHA;QUITO;SAN JOSE DE MINAS;NO;NO;Pitcairnia;0.16666;-78.53333;0;0;BOSQUE;PLUVIESTACIONAL;ECOSISTEMA TERRESTRE;ALTA;NO DEFINIDA;70 - 80;1900;1;1
PICHINCHA;QUITO;SAN JOSE DE MINAS;NO;NO;Mezobromelia;0.16666;-78.53333;0;0;BOSQUE;PLUVIESTACIONAL;ECOSISTEMA TERRESTRE;ALTA;NO DEFINIDA;70 - 80;1900;1;1
PICHINCHA;QUITO;SAN JOSE DE MINAS;NO;NO;Vriesea;0.16666;-78.53333;0;0;BOSQUE;PLUVIESTACIONAL;ECOSISTEMA TERRESTRE;ALTA;NO DEFINIDA;70 - 80;1900;1;1
PICHINCHA;QUITO;NANEGAL;NO;NO;Guzmania;0.13333;-78.65;0;0;BOSQUE;PLUVIESTACIONAL;ECOSISTEMA TERRESTRE;ALTA;NO DEFINIDA;70 - 80;1900;1;1
PICHINCHA;QUITO;NANEGAL;NO;NO;Guzmania;0.13333;-78.65;0;0;BOSQUE;PLUVIESTACIONAL;ECOSISTEMA TERRESTRE;ALTA;NO DEFINIDA;70 - 80;1900;1;1
PICHINCHA;QUITO;NANEGAL;NO;NO;Guzmania;0.13333;-78.61666;0;0;BOSQUE;PLUVIESTACIONAL;; ;NO DEFINIDA;70 - 80;1900;1;1
PICHINCHA;QUITO;NANEGAL;NO;NO;Guzmania;0.13333;-78.61666;0;0;BOSQUE;PLUVIESTACIONAL;; ;NO DEFINIDA;70 - 80;1900;1;1
PICHINCHA;QUITO;NANEGAL;NO;NO;Pitcairnia;0.13333;-78.61666;0;0;BOSQUE;PLUVIESTACIONAL;; ;NO DEFINIDA;70 - 80;1900;1;1
PICHINCHA;QUITO;NANEGAL;NO;NO;Guzmania;0.13333;-78.61666;0;0;BOSQUE;PLUVIESTACIONAL;; ;NO DEFINIDA;70 - 80;1900;1;1
PICHINCHA;QUITO;NANEGAL;NO;NO;Tillandsia;0.13333;-78.61666;0;0;BOSQUE;PLUVIESTACIONAL;; ;NO DEFINIDA;70 - 80;1900;1;1
PICHINCHA;QUITO;NANEGAL;NO;NO;Tillandsia;0.13333;-78.61666;0;0;BOSQUE;PLUVIESTACIONAL;; ;NO DEFINIDA;70 - 80;1900;1;1
PICHINCHA;QUITO;NANEGAL;NO;NO;Racinaea;0.13333;-78.61666;0;0;BOSQUE;PLUVIESTACIONAL;; ;NO DEFINIDA;70 - 80;1900;1;1
PICHINCHA;QUITO;NANEGAL;NO;NO;Tillandsia;0.13333;-78.61666;0;0;BOSQUE;PLUVIESTACIONAL;; ;NO DEFINIDA;70 - 80;1900;1;1
PICHINCHA;QUITO;NANEGAL;NO;NO;Werauhia;0.13333;-78.61666;0;0;BOSQUE;PLUVIESTACIONAL;; ;NO DEFINIDA;70 - 80;1900;1;1
PICHINCHA;QUITO;NANEGAL;NO;NO;Guzmania;0.13333;-78.61666;0;0;BOSQUE;PLUVIESTACIONAL;; ;NO DEFINIDA;70 - 80;1900;1;1
PICHINCHA;QUITO;NANEGAL;NO;NO;Tillandsia;0.08333;-78.56666;0;0;BOSQUE;PLUVIESTACIONAL;ECOSISTEMA TERRESTRE;ALTA;NO DEFINIDA;70 - 80;1900;1;1
PICHINCHA;QUITO;NANEGAL;NO;NO;Tillandsia;0.08333;-78.56666;0;0;BOSQUE;PLUVIESTACIONAL;ECOSISTEMA TERRESTRE;ALTA;NO DEFINIDA;70 - 80;1900;1;1
PICHINCHA;SAN MIGUEL DE LOS BANCOS;MINDO;NO;NO;Mezobromelia;-0.05;-78.71666;0;0;BOSQUE;PLUVIAL;ECOSISTEMA TERRESTRE;ALTA;NO DEFINIDA;70 - 80;1900;1;1
LOJA;SOZORANGA;SOZORANGA;NO;NO;Pitcairnia;-4.316667;-79.816667;0;0;TIERRA AGROPECUARIA;PLUVIESTACIONAL;; ;NO DEFINIDA;375 - 400;1900;1;1
PASTAZA;ARAJUNO;CURARAY;NO;NO;Aechmea;-1.46666;-77.45;0;0;BOSQUE;PLUVIAL;ECOSISTEMA TERRESTRE;MUY BAJA;NO DEFINIDA;000 - 000;1900;1;1
PASTAZA;ARAJUNO;CURARAY;NO;NO;Guzmania;-1.46666;-77.45;0;0;BOSQUE;PLUVIAL;ECOSISTEMA TERRESTRE;MUY BAJA;NO DEFINIDA;000 - 000;1900;1;1
NAPO;TENA;CHONTAPUNTA;NO;NO;Aechmea;-0.916667;-77.416667;0;0;BOSQUE;PLUVIAL;ECOSISTEMA TERRESTRE;MEDIA;NO DEFINIDA;000 - 000;1900;1;1
NAPO;TENA;CHONTAPUNTA;NO;NO;Aechmea;-0.916667;-77.416667;0;0;BOSQUE;PLUVIAL;ECOSISTEMA TERRESTRE;MEDIA;NO DEFINIDA;000 - 000;1900;1;1
NAPO;TENA;CHONTAPUNTA;NO;NO;Guzmania;-0.916667;-77.416667;0;0;BOSQUE;PLUVIAL;ECOSISTEMA TERRESTRE;MEDIA;NO DEFINIDA;000 - 000;1900;1;1
NAPO;TENA;PUERTO MISAHUALLI;NO;NO;Pitcairnia;-0.96666;-77.66666;0;0;TIERRA AGROPECUARIA;PLUVIAL;; ;NO DEFINIDA;000 - 000;1900;1;1
NAPO;TENA;PUERTO MISAHUALLI;NO;NO;Guzmania;-0.96666;-77.66666;0;0;TIERRA AGROPECUARIA;PLUVIAL;; ;NO DEFINIDA;000 - 000;1900;1;1
NAPO;TENA;PUERTO MISAHUALLI;NO;NO;Aechmea;-0.966667;-77.666667;0;0;TIERRA AGROPECUARIA;PLUVIAL;; ;NO DEFINIDA;000 - 000;1900;1;1
AZUAY;OÑA;SAN FELIPE DE OÑA;NO;NO;Tillandsia;-3.41666;-79.13333;0;0;VEGETACION ARBUSTIVA Y HERBACEA;XÉRICO;ECOSISTEMA TERRESTRE;ALTA;NO DEFINIDA;450 - 475;1900;1;1
PASTAZA;ARAJUNO;CURARAY;NO;NO;Aechmea;-1.46666;-77.45;0;0;BOSQUE;PLUVIAL;ECOSISTEMA TERRESTRE;MUY BAJA;NO DEFINIDA;000 - 000;1900;1;1
PASTAZA;ARAJUNO;CURARAY;NO;NO;Guzmania;-1.46666;-77.45;0;0;BOSQUE;PLUVIAL;ECOSISTEMA TERRESTRE;MUY BAJA;NO DEFINIDA;000 - 000;1900;1;1
NAPO;TENA;CHONTAPUNTA;NO;NO;Aechmea;-0.916667;-77.416667;0;0;BOSQUE;PLUVIAL;ECOSISTEMA TERRESTRE;MEDIA;NO DEFINIDA;000 - 000;1900;1;1
NAPO;TENA;CHONTAPUNTA;NO;NO;Aechmea;-0.916667;-77.416667;0;0;BOSQUE;PLUVIAL;ECOSISTEMA TERRESTRE;MEDIA;NO DEFINIDA;000 - 000;1900;1;1
NAPO;TENA;CHONTAPUNTA;NO;NO;Guzmania;-0.916667;-77.416667;0;0;BOSQUE;PLUVIAL;ECOSISTEMA TERRESTRE;MEDIA;NO DEFINIDA;000 - 000;1900;1;1
NAPO;TENA;PUERTO MISAHUALLI;NO;NO;Pitcairnia;-0.96666;-77.66666;0;0;TIERRA AGROPECUARIA;PLUVIAL;; ;NO DEFINIDA;000 - 000;1900;1;1
NAPO;TENA;PUERTO MISAHUALLI;NO;NO;Guzmania;-0.96666;-77.66666;0;0;TIERRA AGROPECUARIA;PLUVIAL;; ;NO DEFINIDA;000 - 000;1900;1;1
NAPO;TENA;PUERTO MISAHUALLI;NO;NO;Aechmea;-0.966667;-77.666667;0;0;TIERRA AGROPECUARIA;PLUVIAL;; ;NO DEFINIDA;000 - 000;1900;1;1
AZUAY;SANTA ISABEL;SANTA ISABEL (CHAGUARURCO);NO;NO;Vriesea;-3.26666;-79.3;0;0;TIERRA AGROPECUARIA;XÉRICO;; ;NO DEFINIDA;450 - 475;1900;1;1
CARCHI;TULCAN;TOBAR DONOSO (LA BOCANA DE CAMUMBI);NO;NO;Ronnbergia;0.9;-78.5;0;0;TIERRA AGROPECUARIA;PLUVIAL;ECOSISTEMA TERRESTRE;ALTA;NO DEFINIDA;310 - 320;1900;1;1
AZUAY;OÑA;SAN FELIPE DE OÑA;NO;NO;Tillandsia;-3.41666;-79.13333;0;0;VEGETACION ARBUSTIVA Y HERBACEA;XÉRICO;ECOSISTEMA TERRESTRE;ALTA;NO DEFINIDA;450 - 475;1900;1;1
AZUAY;OÑA;SAN FELIPE DE OÑA;NO;NO;Tillandsia;-3.41666;-79.13333;0;0;VEGETACION ARBUSTIVA Y HERBACEA;XÉRICO;ECOSISTEMA TERRESTRE;ALTA;NO DEFINIDA;450 - 475;1900;1;1
LOJA;LOJA;SAN PEDRO DE VILCABAMBA;NO;NO;Tillandsia;-4.236944;-79.222222;0;0;TIERRA AGROPECUARIA;XÉRICO;ECOSISTEMA TERRESTRE;ALTA;NO DEFINIDA;375 - 400;1900;1;1
PASTAZA;ARAJUNO;CURARAY;NO;NO;Pepinia;-1.46666;-77.53333;0;0;BOSQUE;PLUVIAL;ECOSISTEMA TERRESTRE;MUY BAJA;NO DEFINIDA;000 - 000;1900;1;1
PASTAZA;ARAJUNO;CURARAY;NO;NO;Aechmea;-1.47;-77.55;0;0;BOSQUE;PLUVIAL;ECOSISTEMA TERRESTRE;MUY BAJA;NO DEFINIDA;000 - 000;1900;1;1
PASTAZA;ARAJUNO;CURARAY;NO;NO;Pepinia;-1.46666;-77.53333;0;0;BOSQUE;PLUVIAL;ECOSISTEMA TERRESTRE;MUY BAJA;NO DEFINIDA;000 - 000;1900;1;1
ZAMORA CHINCHIPE;ZAMORA;SABANILLA;NO;NO;Racinaea;-3.9667;-79.1167;0;0;BOSQUE;PLUVIAL;ECOSISTEMA TERRESTRE;ALTA;NO DEFINIDA;25 - 50;1900;1;1
LOJA;LOJA;TAQUIL (MIGUEL RIOFRIO);NO;NO;Tillandsia;-3.9;-79.3;0;0;TIERRA AGROPECUARIA;PLUVIESTACIONAL;; ;NO DEFINIDA;375 - 400;1900;1;1
ZAMORA CHINCHIPE;ZAMORA;SABANILLA;NO;NO;Pitcairnia;-3.983056;-79.078889;0;0;BOSQUE;PLUVIAL;ECOSISTEMA TERRESTRE;ALTA;PARQUE NACIONAL;25 - 50;1900;1;1
ZAMORA CHINCHIPE;ZAMORA;SABANILLA;NO;NO;Racinaea;-3.983056;-79.078889;0;0;BOSQUE;PLUVIAL;ECOSISTEMA TERRESTRE;ALTA;PARQUE NACIONAL;25 - 50;1900;1;1
ZAMORA CHINCHIPE;ZAMORA;SABANILLA;NO;NO;Vriesea;-3.983056;-79.078889;0;0;BOSQUE;PLUVIAL;ECOSISTEMA TERRESTRE;ALTA;PARQUE NACIONAL;25 - 50;1900;1;1
ZAMORA CHINCHIPE;ZAMORA;SABANILLA;NO;NO;Tillandsia;-3.983056;-79.078889;0;0;BOSQUE;PLUVIAL;ECOSISTEMA TERRESTRE;ALTA;PARQUE NACIONAL;25 - 50;1900;1;1
ZAMORA CHINCHIPE;ZAMORA;SABANILLA;NO;NO;Tillandsia;-3.983056;-79.078889;0;0;BOSQUE;PLUVIAL;ECOSISTEMA TERRESTRE;ALTA;PARQUE NACIONAL;25 - 50;1900;1;1
ZAMORA CHINCHIPE;ZAMORA;SABANILLA;NO;NO;Racinaea;-3.983056;-79.078889;0;0;BOSQUE;PLUVIAL;ECOSISTEMA TERRESTRE;ALTA;PARQUE NACIONAL;25 - 50;1900;1;1
NAPO;ARCHIDONA;COTUNDO;NO;NO;Guzmania;-0.8;-77.8;0;0;TIERRA AGROPECUARIA;PLUVIAL;; ;NO DEFINIDA;000 - 000;1900;1;1
NAPO;QUIJOS;COSANGA;NO;NO;Guzmania;-0.61666;-77.85;0;0;TIERRA AGROPECUARIA;PLUVIAL;ECOSISTEMA TERRESTRE;BAJA;PARQUE NACIONAL;000 - 000;1900;1;1
NAPO;ARCHIDONA;COTUNDO;NO;NO;Guzmania;-0.63333;-77.85;0;0;BOSQUE;PLUVIAL;ECOSISTEMA TERRESTRE;BAJA;PARQUE NACIONAL;000 - 000;1900;1;1
LOJA;LOJA;TAQUIL (MIGUEL RIOFRIO);NO;NO;Tillandsia;-3.9;-79.3;0;0;TIERRA AGROPECUARIA;PLUVIESTACIONAL;; ;NO DEFINIDA;375 - 400;1900;1;1
ZAMORA CHINCHIPE;ZAMORA;SABANILLA;NO;NO;Tillandsia;-3.96666;-79.11666;0;0;BOSQUE;PLUVIAL;ECOSISTEMA TERRESTRE;ALTA;NO DEFINIDA;25 - 50;1900;1;1
NAPO;ARCHIDONA;COTUNDO;NO;NO;Guzmania;-0.8;-77.8;0;0;TIERRA AGROPECUARIA;PLUVIAL;; ;NO DEFINIDA;000 - 000;1900;1;1
NAPO;QUIJOS;COSANGA;NO;NO;Guzmania;-0.61666;-77.85;0;0;TIERRA AGROPECUARIA;PLUVIAL;ECOSISTEMA TERRESTRE;BAJA;PARQUE NACIONAL;000 - 000;1900;1;1
NAPO;ARCHIDONA;COTUNDO;NO;NO;Guzmania;-0.63333;-77.85;0;0;BOSQUE;PLUVIAL;ECOSISTEMA TERRESTRE;BAJA;PARQUE NACIONAL;000 - 000;1900;1;1
ZAMORA CHINCHIPE;EL PANGUI;PACHICUTZA;NO;NO;Guzmania;-3.68333;-78.51666;0;0;BOSQUE;PLUVIAL;ECOSISTEMA TERRESTRE;MEDIA;NO DEFINIDA;25 - 50;1900;1;1
ZAMORA CHINCHIPE;YANTZAZA;LOS ENCUENTROS;NO;NO;Pitcairnia;-3.81666;-78.6;0;0;BOSQUE;PLUVIAL;ECOSISTEMA TERRESTRE;MUY ALTA;NO DEFINIDA;25 - 50;1900;1;1
